Month,Day,Hour,Trips
6,Saturday,23,5861
6,Sunday,0,5135
6,Sunday,1,3493
6,Sunday,2,2443
6,Sunday,3,1736
6,Sunday,4,960
6,Sunday,5,954
6,Sunday,6,1055
6,Sunday,7,1299
6,Sunday,8,1901
6,Sunday,9,2658
6,Sunday,10,3229
6,Sunday,11,3565
6,Sunday,12,4009
6,Sunday,13,4345
6,Sunday,14,4713
6,Sunday,15,5335
6,Sunday,16,5628
6,Sunday,17,5037
6,Sunday,18,4303
6,Sunday,19,4163
6,Sunday,20,4086
6,Sunday,21,4285
6,Sunday,22,3452
6,Sunday,23,1872
6,Thursday,0,1363
6,Thursday,1,751
6,Thursday,2,479
6,Thursday,3,751
6,Thursday,4,1116
6,Thursday,5,2108
6,Thursday,6,4355
6,Thursday,7,5993
6,Thursday,8,5697
6,Thursday,9,4357
6,Thursday,10,3980
6,Thursday,11,3662
6,Thursday,12,3872
6,Thursday,13,4781
6,Thursday,14,5588
6,Thursday,15,6931
6,Thursday,16,7660
6,Thursday,17,8688
6,Thursday,18,7946
6,Thursday,19,7236
6,Thursday,20,8369
6,Thursday,21,8218
6,Thursday,22,7155
6,Thursday,23,4269
6,Tuesday,0,722
6,Tuesday,1,415
6,Tuesday,2,291
6,Tuesday,3,507
6,Tuesday,4,884
6,Tuesday,5,1680
6,Tuesday,6,3511
6,Tuesday,7,5064
6,Tuesday,8,4338
6,Tuesday,9,3075
6,Tuesday,10,2895
6,Tuesday,11,3073
6,Tuesday,12,3165
6,Tuesday,13,3766
6,Tuesday,14,4739
6,Tuesday,15,5802
6,Tuesday,16,7224
6,Tuesday,17,8112
6,Tuesday,18,6578
6,Tuesday,19,5271
6,Tuesday,20,5920
6,Tuesday,21,5468
6,Tuesday,22,3654
6,Tuesday,23,1980
6,Wednesday,0,996
6,Wednesday,1,522
6,Wednesday,2,394
6,Wednesday,3,644
6,Wednesday,4,937
6,Wednesday,5,1717
6,Wednesday,6,3833
6,Wednesday,7,5627
6,Wednesday,8,4793
6,Wednesday,9,3567
6,Wednesday,10,3408
6,Wednesday,11,3452
6,Wednesday,12,3562
6,Wednesday,13,4193
6,Wednesday,14,5286
6,Wednesday,15,6561
6,Wednesday,16,7630
6,Wednesday,17,8195
6,Wednesday,18,7367
6,Wednesday,19,5983
6,Wednesday,20,6639
6,Wednesday,21,6525
6,Wednesday,22,5128
6,Wednesday,23,2695
7,Friday,0,2460
7,Friday,1,1541
7,Friday,2,1059
7,Friday,3,1230
7,Friday,4,1359
7,Friday,5,1989
7,Friday,6,2947
7,Friday,7,4032
7,Friday,8,4152
7,Friday,9,3631
7,Friday,10,3503
7,Friday,11,3674
7,Friday,12,3792
7,Friday,13,4619
7,Friday,14,5457
7,Friday,15,6031
7,Friday,16,6440
7,Friday,17,6657
7,Friday,18,6682
7,Friday,19,5947
7,Friday,20,5699
7,Friday,21,6654
7,Friday,22,7103
7,Friday,23,6077
7,Monday,0,1260
7,Monday,1,613
7,Monday,2,439
7,Monday,3,1019
7,Monday,4,1615
7,Monday,5,2461
7,Monday,6,3644
7,Monday,7,5066
7,Monday,8,4797
7,Monday,9,3692
7,Monday,10,3423
7,Monday,11,3492
7,Monday,12,3512
7,Monday,13,3918
7,Monday,14,4604
7,Monday,15,5057
7,Monday,16,6283
7,Monday,17,7328
7,Monday,18,6551
7,Monday,19,6378
7,Monday,20,6303
7,Monday,21,5640
7,Monday,22,3828
7,Monday,23,2266
7,Saturday,0,4441
7,Saturday,1,3153
7,Saturday,2,2320
7,Saturday,3,1704
7,Saturday,4,1087
7,Saturday,5,1097
7,Saturday,6,1214
7,Saturday,7,1594
7,Saturday,8,2101
7,Saturday,9,2668
7,Saturday,10,3293
7,Saturday,11,3545
7,Saturday,12,3697
7,Saturday,13,3826
7,Saturday,14,4491
7,Saturday,15,5079
